# gameid,levelid,screen,fingerprint
18238,001,0,v2:05110511003f003f003f012f012f003f003f003f003f003f003f003f0511051100000000003f003f003f012f012f003f003f003f003f003f003f003f003f003f00000000003f003f003f003f003f003f003f003f003f003f003f003f0000000000000000003f003f003f003f003f003f003f003f003f003f003f003f0000000000000000003f003f003f003f003f003f003f003f003f003f003f003f00000000002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0021002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0000002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0000002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0000002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0000002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0000002a002a002a002a002a002a002a002a002a002a002a002a002a002a002a0000002a002a002a002a002a002a002a002a002a002a002a002a002a002a013d013d00000000003f003f003f003f003f003f003f003f003f003f003f003f015601570000000000000000000000000000000000000000000000000000003f003f003f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002100210021002100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141000000000000000000000000000000000000000000000000000000000000014200000000000000000000000000000000000000000000000000000000000000000000
18238,001,1,empty
18238,001,2,empty
18238,001,3,empty
18238,001,4,empty
18238,001,5,empty
18238,001,6,empty
18238,001,7,empty
18238,001,8,empty
18238,001,9,empty
18238,001,10,empty
18238,001,11,empty
18238,001,12,empty
18238,001,13,empty
18238,001,14,empty
18238,001,15,empty
18238,001,16,empty
18238,001,17,empty
18238,001,18,empty
18238,001,19,empty
18238,001,20,empty
18238,001,21,empty
18238,001,22,empty
18238,001,23,empty
18238,001,24,empty
18238,001,25,empty
18238,001,26,empty
18238,002,0,v2:0b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b110b410b210b210b400b110b110b110b110b110b110b110b410b210b400b110b110b1207d607d70b950b210b210b210b210b210b210b210b2201120b200b210b210b2207e607e70b940000000000000000000003a00000000000000000035000000ba1035003500ba1000000000000000000000b000b010be10ae30be00b010b010000000000000000000000000000000000000b200b210b2201240b200b400b11000000000000000000000000000000000000000000000000000000000b100b11000000000000000000000000000000000000000000000000000000000b100b1103a1000000000000000000000ba000000000000000000000000000000b100b1103a103a103a103a1000000000b7400000351035100000000000000000b100b110000000000000000000000000b8400000000000000000000000000000b100b110000000000000000000000000b9400000000000000000000000000000b100b1100000000000000000ae00ae00ae000000000000000000000000000000b100b1100000000000000000ba00ba00ba00ba00ba000000000000000000ba00b100b1100000ac1000000000b000b010b010b020399000000000000000003990b100b1100000000000000000b100b110b110b310b0203a003a003a003a00b000b300b1100000000000000000b100b110b110b110b1200000000000000000b100b110b11
